"id","username","email","password","fullName","role","isActive","lastLogin","createdAt","updatedAt"
"cmifyishu00002o7gtdkj5jla","admin","admin@ptbarasakti.co.id","$2b$10$oZtJA/xifGOjKwFouIFveOLLzf7KPgEdi6IEqcTWi8swcwkhZzs6W","System Administrator","ADMIN",true,"2025-11-26T12:04:28.477Z","2025-11-26T12:04:28.482Z","2025-11-26T12:04:28.482Z"
"cmifyishy00012o7g5f3sqd4j","admin1","dewi.rahmanto1@ptbarasakti.co.id","$2b$10$oZtJA/xifGOjKwFouIFveOLLzf7KPgEdi6IEqcTWi8swcwkhZzs6W","Dewi Rahmanto","ADMIN",true,"2025-11-19T12:04:28.484Z","2025-11-26T12:04:28.487Z","2025-11-26T12:04:28.487Z"
"cmifyisi000022o7gx8n20wsn","admin2","dedi.putra2@ptbarasakti.co.id","$2b$10$oZtJA/xifGOjKwFouIFveOLLzf7KPgEdi6IEqcTWi8swcwkhZzs6W","Dedi Putra","ADMIN",true,"2025-11-25T12:04:28.484Z","2025-11-26T12:04:28.489Z","2025-11-26T12:04:28.489Z"
"cmifyisi200032o7gon1xznii","admin3","wahyu.prasetyo3@ptbarasakti.co.id","$2b$10$oZtJA/xifGOjKwFouIFveOLLzf7KPgEdi6IEqcTWi8swcwkhZzs6W","Wahyu Prasetyo","ADMIN",true,"2025-11-07T12:04:28.484Z","2025-11-26T12:04:28.490Z","2025-11-26T12:04:28.490Z"
"cmifyisi300042o7g3tvo88ol","admin4","indah.purwanto4@ptbarasakti.co.id","$2b$10$oZtJA/xifGOjKwFouIFveOLLzf7KPgEdi6IEqcTWi8swcwkhZzs6W","Indah Purwanto","ADMIN",true,"2025-11-18T12:04:28.484Z","2025-11-26T12:04:28.492Z","2025-11-26T12:04:28.492Z"
"cmifyisi500052o7gjr2z6c0w","admin5","tri.santoso5@ptbarasakti.co.id","$2b$10$oZtJA/xifGOjKwFouIFveOLLzf7KPgEdi6IEqcTWi8swcwkhZzs6W","Tri Santoso","ADMIN",true,"2025-11-24T12:04:28.484Z","2025-11-26T12:04:28.493Z","2025-11-26T12:04:28.493Z"
"cmifyisi600062o7guk0scdkf","supervisor6","wawan.widodo6@ptbarasakti.co.id","$2b$10$oZtJA/xifGOjKwFouIFveOLLzf7KPgEdi6IEqcTWi8swcwkhZzs6W","Wawan Widodo","SUPERVISOR",true,"2025-10-30T12:04:28.484Z","2025-11-26T12:04:28.495Z","2025-11-26T12:04:28.495Z"
"cmifyisi800072o7g25jhm63p","supervisor7","hadi.prasetyo7@ptbarasakti.co.id","$2b$10$oZtJA/xifGOjKwFouIFveOLLzf7KPgEdi6IEqcTWi8swcwkhZzs6W","Hadi Prasetyo","SUPERVISOR",true,"2025-11-23T12:04:28.484Z","2025-11-26T12:04:28.496Z","2025-11-26T12:04:28.496Z"
"cmifyisi900082o7gsxp3c3z5","supervisor8","wahyu.wibowo8@ptbarasakti.co.id","$2b$10$oZtJA/xifGOjKwFouIFveOLLzf7KPgEdi6IEqcTWi8swcwkhZzs6W","Wahyu Wibowo","SUPERVISOR",true,"2025-11-26T12:04:28.484Z","2025-11-26T12:04:28.497Z","2025-11-26T12:04:28.497Z"
"cmifyisia00092o7ggou2cuom","supervisor9","ratna.hidayat9@ptbarasakti.co.id","$2b$10$oZtJA/xifGOjKwFouIFveOLLzf7KPgEdi6IEqcTWi8swcwkhZzs6W","Ratna Hidayat","SUPERVISOR",true,"2025-11-06T12:04:28.484Z","2025-11-26T12:04:28.499Z","2025-11-26T12:04:28.499Z"
"cmifyisic000a2o7gqlcrx4r3","supervisor10","tri.prasetyo10@ptbarasakti.co.id","$2b$10$oZtJA/xifGOjKwFouIFveOLLzf7KPgEdi6IEqcTWi8swcwkhZzs6W","Tri Prasetyo","SUPERVISOR",true,"2025-11-20T12:04:28.484Z","2025-11-26T12:04:28.500Z","2025-11-26T12:04:28.500Z"
"cmifyisie000b2o7gbnk2lgj8","supervisor11","eko.hidayat11@ptbarasakti.co.id","$2b$10$oZtJA/xifGOjKwFouIFveOLLzf7KPgEdi6IEqcTWi8swcwkhZzs6W","Eko Hidayat","SUPERVISOR",true,"2025-11-03T12:04:28.484Z","2025-11-26T12:04:28.502Z","2025-11-26T12:04:28.502Z"
"cmifyisif000c2o7gpux040s1","supervisor12","ratna.firmansyah12@ptbarasakti.co.id","$2b$10$oZtJA/xifGOjKwFouIFveOLLzf7KPgEdi6IEqcTWi8swcwkhZzs6W","Ratna Firmansyah","SUPERVISOR",true,"2025-11-21T12:04:28.484Z","2025-11-26T12:04:28.503Z","2025-11-26T12:04:28.503Z"
"cmifyisih000d2o7g3hu555v2","supervisor13","fajar.prasetyo13@ptbarasakti.co.id","$2b$10$oZtJA/xifGOjKwFouIFveOLLzf7KPgEdi6IEqcTWi8swcwkhZzs6W","Fajar Prasetyo","SUPERVISOR",true,"2025-11-19T12:04:28.484Z","2025-11-26T12:04:28.505Z","2025-11-26T12:04:28.505Z"
"cmifyisii000e2o7gnzolakgx","supervisor14","dedi.hermawan14@ptbarasakti.co.id","$2b$10$oZtJA/xifGOjKwFouIFveOLLzf7KPgEdi6IEqcTWi8swcwkhZzs6W","Dedi Hermawan","SUPERVISOR",true,"2025-11-24T12:04:28.484Z","2025-11-26T12:04:28.507Z","2025-11-26T12:04:28.507Z"
"cmifyisij000f2o7g82mzx62v","supervisor15","ratna.widodo15@ptbarasakti.co.id","$2b$10$oZtJA/xifGOjKwFouIFveOLLzf7KPgEdi6IEqcTWi8swcwkhZzs6W","Ratna Widodo","SUPERVISOR",true,"2025-11-05T12:04:28.484Z","2025-11-26T12:04:28.508Z","2025-11-26T12:04:28.508Z"
