"id","userId","employeeNumber","licenseNumber","licenseType","licenseExpiry","competency","status","shift","totalHours","rating","joinDate","resignDate","createdAt","updatedAt"
"cmifyivgi03pe2o7glzlk5mo2","cmifyiskg001u2o7gzw112a6x","OPR-0001","SIM-XOOMPTIE","SIM_B2","2028-01-15T12:04:32.319Z","{""dump_truck"":true,""heavy_equipment"":false,""years_experience"":5}","SICK","SHIFT_1",10496,3.871845380953412,"2020-11-27T12:04:32.319Z",,"2025-11-26T12:04:32.322Z","2025-11-26T12:04:32.322Z"
"cmifyivgl03pg2o7gq85ju7o9","cmifyiski001v2o7g60g9aafn","OPR-0002","SIM-IXNDF3L6","SIM_B2","2028-07-13T12:04:32.319Z","{""dump_truck"":true,""heavy_equipment"":false,""years_experience"":1}","ACTIVE","SHIFT_2",2046,4.246191242961821,"2024-11-26T12:04:32.319Z",,"2025-11-26T12:04:32.326Z","2025-11-26T12:04:32.326Z"
"cmifyivgn03pi2o7gyr29h2zg","cmifyiskj001w2o7g0xs6vqdo","OPR-0003","SIM-0HQIMNVC","SIM_B2","2027-02-19T12:04:32.319Z","{""dump_truck"":true,""heavy_equipment"":false,""years_experience"":9}","ACTIVE","SHIFT_3",18377,4.283623721310153,"2016-11-28T12:04:32.319Z",,"2025-11-26T12:04:32.327Z","2025-11-26T12:04:32.327Z"
"cmifyivgp03pk2o7gvlffhl9x","cmifyiskk001x2o7g1ee0ekrh","OPR-0004","SIM-PEYA2L0C","OPERATOR_ALAT_BERAT","2027-10-17T12:04:32.319Z","{""dump_truck"":true,""heavy_equipment"":true,""years_experience"":5}","ON_LEAVE","SHIFT_1",10254,3.686877659433438,"2020-11-27T12:04:32.319Z",,"2025-11-26T12:04:32.329Z","2025-11-26T12:04:32.329Z"
"cmifyivgq03pm2o7ghqy2rh8h","cmifyiskl001y2o7gi3awrzpi","OPR-0005","SIM-P7M58ITB","SIM_B2","2029-04-09T12:04:32.319Z","{""dump_truck"":true,""heavy_equipment"":false,""years_experience"":6}","ACTIVE","SHIFT_2",12471,4.141624290488087,"2019-11-28T12:04:32.319Z",,"2025-11-26T12:04:32.331Z","2025-11-26T12:04:32.331Z"
"cmifyivgs03po2o7gg4est9mo","cmifyiskn001z2o7gbhq437a6","OPR-0006","SIM-TWBMHXKI","OPERATOR_ALAT_BERAT","2026-12-21T12:04:32.319Z","{""dump_truck"":true,""heavy_equipment"":true,""years_experience"":1}","SICK","SHIFT_3",2455,4.458286385799211,"2024-11-26T12:04:32.319Z",,"2025-11-26T12:04:32.332Z","2025-11-26T12:04:32.332Z"
"cmifyivgt03pq2o7gn7qdyvdl","cmifyisko00202o7gkwfpplul","OPR-0007","SIM-BYFHP7DA","SIM_B2","2028-03-15T12:04:32.319Z","{""dump_truck"":true,""heavy_equipment"":false,""years_experience"":6}","SICK","SHIFT_1",12167,4.150465061723025,"2019-11-28T12:04:32.319Z",,"2025-11-26T12:04:32.334Z","2025-11-26T12:04:32.334Z"
"cmifyivgv03ps2o7gxpd0y2nz","cmifyiskp00212o7g7ffvv8lu","OPR-0008","SIM-DBGR182L","OPERATOR_ALAT_BERAT","2026-12-21T12:04:32.319Z","{""dump_truck"":true,""heavy_equipment"":true,""years_experience"":9}","ACTIVE","SHIFT_2",18257,4.1360452395217,"2016-11-28T12:04:32.319Z",,"2025-11-26T12:04:32.335Z","2025-11-26T12:04:32.335Z"
"cmifyivgw03pu2o7gg7soljbt","cmifyiskq00222o7guoskjy4h","OPR-0009","SIM-4LBXZE6W","OPERATOR_ALAT_BERAT","2027-11-16T12:04:32.319Z","{""dump_truck"":true,""heavy_equipment"":true,""years_experience"":6}","ACTIVE","SHIFT_3",12100,4.996142807299302,"2019-11-28T12:04:32.319Z",,"2025-11-26T12:04:32.337Z","2025-11-26T12:04:32.337Z"
"cmifyivgz03pw2o7gwj3lhnbj","cmifyisks00232o7gj1vi3xnb","OPR-0010","SIM-TYRV316O","SIM_B2","2029-04-09T12:04:32.319Z","{""dump_truck"":true,""heavy_equipment"":false,""years_experience"":5}","ON_LEAVE","SHIFT_1",10063,4.179382075051192,"2020-11-27T12:04:32.319Z",,"2025-11-26T12:04:32.339Z","2025-11-26T12:04:32.339Z"
"cmifyivh003py2o7gtc93jjic","cmifyiskt00242o7g3k0bcsyq","OPR-0011","SIM-ZJ7DUSM0","SIM_B2","2027-06-19T12:04:32.319Z","{""dump_truck"":true,""heavy_equipment"":false,""years_experience"":2}","ACTIVE","SHIFT_2",4298,4.624675733908568,"2023-11-27T12:04:32.319Z",,"2025-11-26T12:04:32.341Z","2025-11-26T12:04:32.341Z"
"cmifyivh203q02o7gjznq06cu","cmifyiskv00252o7g3naivy0e","OPR-0012","SIM-QE6Y23FP","OPERATOR_ALAT_BERAT","2028-07-13T12:04:32.319Z","{""dump_truck"":true,""heavy_equipment"":true,""years_experience"":1}","ACTIVE","SHIFT_3",2336,4.925011500986427,"2024-11-26T12:04:32.319Z",,"2025-11-26T12:04:32.343Z","2025-11-26T12:04:32.343Z"
"cmifyivh403q22o7go9fqekkt","cmifyiskw00262o7gkz4rljx8","OPR-0013","SIM-SJ4QVFT1","OPERATOR_ALAT_BERAT","2027-04-20T12:04:32.320Z","{""dump_truck"":true,""heavy_equipment"":true,""years_experience"":5}","ACTIVE","SHIFT_1",10456,4.467482046347117,"2020-11-27T12:04:32.319Z",,"2025-11-26T12:04:32.344Z","2025-11-26T12:04:32.344Z"
"cmifyivh503q42o7gugnwh3f4","cmifyiskx00272o7g35ovtq80","OPR-0014","SIM-MTDJO8GA","SIM_B2","2026-12-21T12:04:32.320Z","{""dump_truck"":true,""heavy_equipment"":false,""years_experience"":1}","ACTIVE","SHIFT_2",2331,3.712839660784158,"2024-11-26T12:04:32.320Z",,"2025-11-26T12:04:32.346Z","2025-11-26T12:04:32.346Z"
"cmifyivh703q62o7gyak3kuxl","cmifyisky00282o7gomxdrby1","OPR-0015","SIM-2BGCFH6S","SIM_B2","2029-02-08T12:04:32.320Z","{""dump_truck"":true,""heavy_equipment"":false,""years_experience"":10}","ACTIVE","SHIFT_3",20400,3.679765157792768,"2015-11-29T12:04:32.320Z",,"2025-11-26T12:04:32.347Z","2025-11-26T12:04:32.347Z"
"cmifyivh803q82o7g6woo7s43","cmifyiskz00292o7gafhzeaj8","OPR-0016","SIM-JD4VIF38","OPERATOR_ALAT_BERAT","2027-05-20T12:04:32.320Z","{""dump_truck"":true,""heavy_equipment"":true,""years_experience"":7}","ACTIVE","SHIFT_1",14318,4.180118013614742,"2018-11-28T12:04:32.320Z",,"2025-11-26T12:04:32.348Z","2025-11-26T12:04:32.348Z"
"cmifyivh903qa2o7g60c1ruz4","cmifyisl0002a2o7guuavwj2j","OPR-0017","SIM-K5ZL7SQ8","SIM_B2","2027-08-18T12:04:32.320Z","{""dump_truck"":true,""heavy_equipment"":false,""years_experience"":9}","ACTIVE","SHIFT_2",18478,4.73049657853324,"2016-11-28T12:04:32.320Z",,"2025-11-26T12:04:32.350Z","2025-11-26T12:04:32.350Z"
"cmifyivhb03qc2o7gtvrpaq57","cmifyisl1002b2o7gmnvyn2xo","OPR-0018","SIM-QGZ1E3ZO","SIM_B2","2026-08-23T12:04:32.320Z","{""dump_truck"":true,""heavy_equipment"":false,""years_experience"":8}","ACTIVE","SHIFT_3",16341,3.951979067508562,"2017-11-28T12:04:32.320Z",,"2025-11-26T12:04:32.351Z","2025-11-26T12:04:32.351Z"
"cmifyivhc03qe2o7gyki9zedq","cmifyisl3002c2o7gkjdw9c98","OPR-0019","SIM-M39DGG9U","OPERATOR_ALAT_BERAT","2027-10-17T12:04:32.320Z","{""dump_truck"":true,""heavy_equipment"":true,""years_experience"":8}","ACTIVE","SHIFT_1",16444,3.610155994605175,"2017-11-28T12:04:32.320Z",,"2025-11-26T12:04:32.353Z","2025-11-26T12:04:32.353Z"
"cmifyivhe03qg2o7gfgq8vpjv","cmifyisl4002d2o7gwe27whyk","OPR-0020","SIM-JKZ9D5M6","SIM_B2","2026-09-22T12:04:32.320Z","{""dump_truck"":true,""heavy_equipment"":false,""years_experience"":4}","ACTIVE","SHIFT_2",8395,4.287551893968723,"2021-11-27T12:04:32.320Z",,"2025-11-26T12:04:32.354Z","2025-11-26T12:04:32.354Z"
